"GNI" "LEB" "MatMortRatio" "MaSecondEdu" "ExYeEdu" "AdolesBirRa" "LabForParFe" "LabForParMa"
"Paraguay" 7643 72.9 110 43 11.9 0.472 55.7 84.8
"Philippines" 7915 68.2 120 63.7 11.3 0.42 51.1 79.7
"El Salvador" 7349 73 69 43.6 12.3 0.427 47.8 79
"South Africa" 12122 57.4 140 75.9 13.6 0.407 44.5 60.5
"Viet Nam" 5092 75.8 49 71.2 11.9 0.308 73 82.2
"Bolivia (Plurinational State of)" 5760 68.3 200 59.1 13.2 0.444 64.2 80.9
"Kyrgyzstan" 3044 70.6 75 96.8 12.5 0.353 56 79.5
"Iraq" 14003 69.4 67 50.2 10.1 0.539 14.9 69.8
"Guyana" 6522 66.4 250 47.8 10.3 0.515 42.6 80.5
"Nicaragua" 4457 74.9 100 38.3 11.5 0.449 47.4 80.3
"Morocco" 6850 74 120 30.2 11.6 0.525 26.5 75.8
"Namibia" 9418 64.8 130 34.4 11.3 0.401 54.7 63.7
"Guatemala" 6929 71.8 140 23.2 10.7 0.533 49.3 88.2
"Tajikistan" 2517 69.4 44 91.2 11.2 0.357 58.9 77.1
"India" 5497 68 190 56.6 11.7 0.563 27 79.9
"Honduras" 3938 73.1 120 25.8 11.1 0.48 42.8 82.9
"Bhutan" 7176 69.5 120 34.5 12.6 0.457 66.7 77.2
"Syrian Arab Republic" 2728 69.6 49 40.5 12.3 0.533 13.5 72.7
"Congo" 6012 62.3 410 47 11.1 0.593 68.5 73
"Zambia" 3734 60.1 280 44 13.5 0.587 73.1 85.6
"Ghana" 3852 61.4 380 64.7 11.5 0.554 67.3 71.4
"Bangladesh" 3191 71.6 170 41.3 10 0.503 57.4 84.1
"Cambodia" 2949 68.4 170 22.9 10.9 0.477 78.8 86.5
"Kenya" 2762 61.6 400 31.4 11 0.552 62.2 72.4
"Nepal" 2311 69.6 190 38.2 12.4 0.489 79.9 87.1
"Pakistan" 4866 66.2 170 46.1 7.8 0.536 24.6 82.9
"Myanmar" 4608 65.9 200 15.3 8.6 0.413 75.2 82.3
"Swaziland" 5542 49 310 26 11.3 0.557 43.9 71.6
"Tanzania (United Republic of)" 2411 65 410 9.5 9.2 0.547 88.1 90.2
"Cameroon" 2803 55.5 590 34.9 10.4 0.587 63.8 76.8
"Zimbabwe" 1615 57.5 470 62 10.9 0.504 83.2 89.7
"Mauritania" 3560 63.1 320 20.9 8.5 0.61 28.7 79.1
"Papua New Guinea" 2463 62.6 220 14.5 9.9 0.611 70.5 74
"Yemen" 3519 63.8 270 26.7 9.2 0.744 25.4 72.2
"Lesotho" 3306 49.8 490 19 11.1 0.541 59 73.5
"Togo" 1228 59.7 450 40.3 12.2 0.588 80.6 81.3
"Haiti" 1669 62.8 380 35.2 8.7 0.603 60.9 71
"Rwanda" 1458 64.2 320 8.8 10.3 0.4 86.4 85.3
"Uganda" 1613 58.5 360 33.5 9.8 0.538 75.8 79.2
"Benin" 1767 59.6 340 27 11.1 0.614 67.6 78.3
"Sudan" 3809 63.5 360 18.2 7 0.591 31.3 76
"Senegal" 2188 66.5 320 15.4 7.9 0.528 66 88
"Afghanistan" 1885 60.4 400 29.8 9.3 0.693 15.8 79.5
"Côte d'Ivoire" 3171 51.5 720 30.1 8.9 0.679 52.4 81.4
"Malawi" 747 62.8 510 21.6 10.8 0.611 84.6 81.5
"Ethiopia" 1428 64.1 420 18.2 8.5 0.558 78.2 89.3
"Gambia" 1507 60.2 430 31.5 8.8 0.622 72.2 82.9
"Congo (Democratic Republic of the)" 680 58.7 730 32.4 9.8 0.673 70.7 73.2
"Liberia" 805 60.9 640 39.3 9.5 0.651 58.2 64.8
"Mali" 1583 58 550 15.1 8.4 0.677 50.8 81.4
"Mozambique" 1123 55.1 480 6.2 9.3 0.591 85.5 82.8
"Sierra Leone" 1780 50.9 1100 21.7 8.6 0.65 65.7 69
"Burkina Faso" 1591 58.7 400 3.2 7.8 0.631 77.1 90
"Burundi" 758 56.7 740 8.3 10.1 0.492 83.3 82
"Chad" 2085 51.6 980 9.9 7.4 0.706 64 79.2
"Central African Republic" 581 50.7 880 26.7 7.2 0.655 72.6 85.1
"Niger" 908 61.4 630 7.8 5.4 0.713 40 89.7
